"plan","id","phase","summary","status","index","evidence","next_action"
"REL_DOD","DOD-17","P11","Linux and Android OEM limitations are explicit","LOCALLY_PROVED","I3","WO-013C; structured platform limitation owner and product/launch plus active-client product/cutover mirrors state Linux NOT_SHIPPED_IN_1.2.0 and bind Android OEM background/power/permission/surface limits to PB-08 and AND-BG-001/002/003 plus AND-VPN-004; platform 31/31 and 21/21, client docs and runtime 7/7 PASS","Put the same limitations in exact-candidate release notes and retain the physical Android OEM matrix before I4"
"REL_DOD","DOD-18","P11","Portal and client-channel rollback drill is retained","EXACT_CANDIDATE16_LOCAL_PORTAL_CLIENT_ROLLBACK_PASS_RUNTIME_OPEN","I3","WO-013DI verifies candidate.16 manifest/signature/receipt and exact platform/client/Core/release-index sources, generates the post-sign handoff and passes the isolated portal plus client stable-pointer sequence 1.1.6 -> candidate.16 -> 1.1.6. Portal and pointer restore byte-identically, unrelated state survives and tracked/runtime/public/stable surfaces remain unchanged","Run the separately authorized real runtime pointer/kill rollback with external backup, receipt, current/Brain origin readback and post-rollback health before I4"
"REL_DOD","DOD-19","P01","Active readiness documents do not mix current and historical status","LOCALLY_PROVED","I3","WO-003G; eight active client readiness owners carry current 1.1.6/1.2.0 truth; six prior bodies are retained as EVIDENCE; platform beta/2026-08-13 trackers are evidence-only; client docs/seed and platform docs/context gates PASS","Retain clean exact-candidate hosted/deployed readback before I4; historical evidence never authorizes new bytes"
"REL_DOD","DOD-20","P11","Final go/no-go is evidence-based","CANDIDATE16_GATE_F_NO_GO_2_PASS_17_NON_PASS_2_FAIL_PROMOTION_BLOCKED","I3","WO-013AI retains the fixed 19-check fail-closed Gate F contract. WO-013DO closes exact physical ARM64 install identity and validates the candidate.16 signature, keyring, source tuple and all 19 pointers. Gate F returns NO_GO with 2 PASS, 17 non-PASS, 2 FAIL and zero validation errors; Gate G remains unauthorized and older decisions are history","Resolve candidate.16 AWG egress and close physical runtime, connected Windows, current/Brain/RU, rollback, provider/Operator/legal/performance and no-open-P0 rows; only generated Gate F GO can permit Gate G"
"OBS","OBS-001","P04","Approve observability ADR and four data modes","LOCALLY_PROVED","I3","WO-006A; shared/contracts/observability/README.md; docs registry/contracts tests PASS","Retain four-mode boundary while implementing 006B-006H"
"OBS","OBS-002","P04","Create observability-event.schema.json","LOCALLY_PROVED","I3","WO-006A; closed event schema; validator planted-field and event fixture tests 16/16 PASS","Consume through typed 006B/006C producers without widening fields"
"OBS","OBS-003","P04","Create versioned error-catalog.json","LOCALLY_PROVED","I3","WO-006A; version 1.2.0 catalog with 117 unique codes and all 29 required families; tests PASS","Map producers to canonical codes in 006B-006E"
"OBS","OBS-004","P04","Bind schema and catalog hashes into release manifest","LOCALLY_PROVED","I3","WO-006A; release-handoff v2 JSON Schema and semantic validator require canonical hashes; client generator derives them; cross-repo parity PASS","Retain exact hashes in future candidate metadata; I4 requires exact candidate"
"OBS","OBS-005","P04","Block raw print, arbitrary logcat and secret interpolation","CANDIDATE16_EXACT_SOURCE_LOGGING_PASS","I3","WO-006 006B closure plus WO-013DQ exact candidate.16 source: release-source gate covers 145 production files and four negative fixtures; observability runtime planted-secret/property suite passes 29/29","Retain exact-candidate physical Android/Windows runtime journal and bundle evidence before I4"
"OBS","OBS-006","P04","Block Authorization, Cookie and body logging","CANDIDATE16_EXACT_SOURCE_PRIVACY_PASS","I3","WO-006 006B closure plus WO-013DQ exact candidate.16 source: platform release-health/bundle ingest/upload 53/53, client observability 29/29 and support bundle 15/15 reject forbidden values and plaintext output","Retain deployed ingest plus physical Android/Windows runtime evidence before I4"
"OBS","OBS-007","P04","Replace raw core lines with structured callback","LOCALLY_PROVED","I3","WO-006C; Core event ABI 1 callback/gomobile handler emits closed lifecycle and egress events; Android release discards arbitrary upstream debug lines; Windows protected journal accepts only strict event records; planted raw corpus and host tests PASS","Retain exact-candidate runtime evidence; debug/support redaction expansion remains later WO-006 slices"
"OBS","OBS-008","P04","Propagate correlation hierarchy app to portal","LOCALLY_PROVED","I3","WO-006 006C-006E closures; active app-first requests emit canonical X-Correlation-ID; platform 41/41 and client exact transport test PASS","Retain exact-candidate cross-process/request evidence in WO-013"
"OBS","OBS-009","P04","Guard stale callbacks with generation and sequence","LOCALLY_PROVED","I3","WO-006 006B closure; OperationalSequenceFence generation/sequence regression 13/13","Instrument phase producers in 006E and retain exact-candidate stale-callback proof"
"OBS","OBS-010","P04","Run planted-secret regression corpus","CANDIDATE16_EXACT_SOURCE_CORPUS_PASS","I3","WO-006 006B/006F closure plus WO-013DQ exact candidate.16 source: release-source four negative fixtures, observability 29/29, support bundle 15/15 and platform ingest/upload 53/53 pass fail-closed planted-value coverage","Retain exact physical candidate and deployed ingest corpus evidence before I4"
"OBS","OBS-011","P04","Create observability_contracts package","LOCALLY_PROVED","I3","WO-006A; client typed package/snapshot and Core snapshot; Flutter 3/3, Core gate and cross-repo parity PASS","Use package from observability_runtime and host adapters in 006B/006C"
"OBS","OBS-012","P04","Create observability_runtime queue, sinks, rotation and backpressure","LOCALLY_PROVED","I3","WO-006 006B closure; pure-Dart observability_runtime package analyze PASS and 13/13 tests; workspace gate adoption","Wire Core/host/portal producers in 006C-006E"
"OBS","OBS-013","P04","Create isolated diagnostics collectors and rules","LOCALLY_PROVED","I3","WO-013B; diagnostics_collectors analyze PASS and full 6/6 tests PASS; collectors remain isolated from transport/runtime ownership","Retain exact-candidate connection-fault and device proof in WO-013E"
"OBS","OBS-014","P04","Create deterministic support_bundle package","LOCALLY_PROVED","I3","WO-006F; packages/diagnostics_collectors; packages/support_bundle; 15 focused tests and analyzers PASS","Integrate only through signed-key encrypted upload in WO-006G"
"OBS","OBS-015","P04","Create encrypted resumable support_upload package","LOCALLY_PROVED","I3","WO-006 006G closure; encrypted private client outbox plus case-bound ticket, authoritative resume offset, replay/conflict and offline-retry tests; platform/client focused and canonical gates PASS","Retain exact deployed object-storage, key-custody and successful real-upload evidence before I4"
"OBS","OBS-016","P04","Instrument bootstrap phases and spans","LOCALLY_PROVED","I3","WO-006 006E closure; pre-runApp initialize and post-frame UI-ready events; runtime/app-shell tests 20/20 and 329/329","Retain exact-candidate startup/crash timing in WO-013"
"OBS","OBS-017","P04","Instrument connection reducer transitions","LOCALLY_PROVED","I3","WO-006 006E closure; generation-fenced canonical reducer drives profile/Core/TUN/routes/DNS/egress/verified/rollback/stopped timeline","Retain physical-host attempt evidence in WO-013"
"OBS","OBS-018","P04","Record phase durations and proof outcomes","LOCALLY_PROVED","I3","WO-006 006E closure; bounded duration_ms and explicit DNS/egress/host proof or missing-proof facts; false-green regression PASS","Measure exact-candidate overhead and retain device evidence in WO-013"
"OBS","OBS-019","P04","Keep safe in-memory breadcrumb ring","LOCALLY_PROVED","I3","WO-006 006B/006E closures; bounded priority rings feed safe previous-exit recovery; runtime 20/20 PASS","Retain exact-candidate crash survival evidence in WO-013"
"OBS","OBS-020","P04","Record previous exit and crash marker","LOCALLY_PROVED","I3","WO-006 006E closure; atomic versioned marker with clean/unclean/crash/corrupt states and synchronous sanitized crash write; source tests PASS","Retain real crash/relaunch proof for exact candidate in WO-013"
"OBS","OBS-021","P04","Bound Android rotation to 24 MB","LOCALLY_PROVED","I3","WO-006 006B closure; exact Android 24 MiB policy and two-generation rotation regression 13/13","Retain physical-device cap and crash evidence in WO-013"
"OBS","OBS-022","P04","Bound Windows/Linux rotation to 64 MB","LOCALLY_PROVED","I3","WO-006 006B closure; exact Windows 64 MiB policy and two-generation rotation regression 13/13; Linux not shipped","Retain clean-VM Windows cap evidence; Linux remains inactive"
"OBS","OBS-023","P04","Use non-blocking batching","LOCALLY_PROVED","I3","WO-006 006B closure; blocked-writer connect-loop and single-writer batched-drain regression 13/13","Measure exact-candidate latency/overhead in WO-013"
"OBS","OBS-024","P04","Use priority-aware dropping","LOCALLY_PROVED","I3","WO-006 006B closure; fatal/security eviction and lower-priority drop-order regression 13/13","Retain saturation evidence for exact candidate"
"OBS","OBS-025","P04","Expose pipeline health metrics","LOCALLY_PROVED","I3","WO-006 006B closure; queue depth/bytes/drop/serialize/write/rotation health metrics and failure regression 13/13","Expose bounded support/operator projection in 006F/006H"
"OBS","OBS-026","P04","Enforce field-level privacy class","LOCALLY_PROVED","I3","WO-006 006B closure; closed privacy modes and per-key type/range/mode validation; 13/13 tests","Apply to Core/portal adapters in 006C/006D"
"OBS","OBS-027","P04","Sanitize paths and local identity","LOCALLY_PROVED","I3","WO-006 006B closure; bounded path/local-identity sanitizers and planted-secret serialization guard 13/13","Apply in diagnostics collectors and bundle inventory in 006F"
"OBS","OBS-028","P04","Remove destinations and URLs from runtime logs","LOCALLY_PROVED","I3","WO-006 006B closure; closed schema has no URL/destination fields; raw release sinks removed and gated; legacy translation allowlisted","Repeat against Core callback and support bundle bytes in 006C/006F"
"OBS","OBS-029","P04","Keep only per-app routing counts remotely","LOCALLY_PROVED_EXACT_CANDIDATE6_COUNT_ONLY_RUNTIME","I3","WO-006J plus WO-013BP; strict source/ingest tests remain. Exact signed candidate.6 LDPlayer selected/excluded-app runs retain only selected_app_count values 0/1 in the bounded operational journal; the selected package identifier is absent from both client and Android private journals","Retain physical exact-candidate runtime plus deployed ingest/operator count-only readback before I4"
"OBS","OBS-030","P04","Generate safe config fingerprint","LOCALLY_PROVED","I3","WO-006 006B closure; canonical order-independent SHA-256 fingerprint never returns source; 13/13 tests","Instrument managed-profile phase in 006E"
"OBS","OBS-031","P03","Separate Windows UI and privileged service logs","LOCALLY_PROVED","I3","WO-005 005C3; protected POKROV_SERVICE_EVENT_V1 service-events.v1 log distinct from user runtime journal; bounded async queue, two-file 256 KiB rotation, forbidden-field native test; CTest 6/6","Retain exact-candidate ACL, rotation and support-collection boundary proof; broader pipeline remains WO-006"
"OBS","OBS-032","P03","Trace Windows IPC request and response spans","LOCALLY_PROVED","I3","WO-005 005C3; closed request/response command-status-correlation spans after caller authorization; no body, session token or nonce field; Debug build, CTest 6/6 and Flutter source contract PASS","Retain installed-service owner/admin/non-owner and exact-candidate correlation evidence"
"OBS","OBS-033","P03","Record Windows SCM and service lifecycle","LOCALLY_PROVED","I3","WO-005 005C3; closed start/running/stop/shutdown/preshutdown/stopped service events; non-blocking producer and drained background sink; strict Debug build and source contracts PASS","Retain actual SCM install/start/stop/shutdown/upgrade/uninstall evidence for exact candidate"
"OBS","OBS-034","P03","Record Wintun, adapter, route and DNS stages","LOCALLY_PROVED","I3","WO-005 005C3; runtime emits closed snapshot/Core/Wintun/adapter/route/DNS/egress/commit/rollback outcomes; fake-sink lifecycle test and bounded journal test; CTest 6/6","Retain live exact-candidate stage ordering against real rebuilt Core DLL and network state"
"OBS","OBS-035","P03","Use safe stack-only Windows crash profile","LOCALLY_PROVED","I3","WO-005C4; native UI/service POKROV_WINDOWS_CRASH_V1 retains exception code plus at most 32 allowlisted module-relative RVAs in separate protected current/previous files; no full dump, symbols, paths, absolute addresses, registers or exception text; Debug build and CTest 7/7, Release build and focused CTest 1/1, Flutter 21/21, analyze and seed PASS","Retain controlled exact-candidate UI/service crash, DACL/rotation, SCM recovery and support-bundle readback before I4"
"OBS","OBS-036","P03","Record sleep, resume and reboot breadcrumbs","LOCALLY_PROVED","I3","WO-005 005C3; SCM power suspend/resume controls plus stable same-boot opaque boot-epoch marker and shutdown/preshutdown envelope; strict build and closed-format tests PASS","Retain physical sleep/resume/reboot evidence and boot-correlation continuity for exact candidate"
"OBS","OBS-037","P03","Keep Android release logs in app-private storage","LOCALLY_PROVED","I3","WO-005D4; app-private no-backup JSONL journal uses a closed schema, bounded 256-entry queue and current/previous 256 KiB files; direct/store JVM 172/172 and debug builds PASS","Retain exact-device file mode, rotation, process-death and support-export readback against the signed candidate before I4"
"OBS","OBS-038","P03","Record VpnService lifecycle and permission events","LOCALLY_PROVED","I3","WO-005D4; closed VPN service lifecycle plus VPN/notification permission outcomes are wired with optional positive session generation and no free-form payload; direct/store JVM 172/172 PASS","Exercise grant/deny/revoke/restart paths on exact candidate devices before I4"
"OBS","OBS-039","P03","Record NetworkCallback, Doze and standby diagnostics","LOCALLY_PROVED","I3","WO-005D4; rate-limited closed NetworkCallback, Doze, app-standby and background-restriction producers write only enum outcomes; direct/store JVM 172/172 PASS","Retain Wi-Fi/LTE, Doze, standby and process-lifecycle delivery on exact candidate devices before I4"
"OBS","OBS-040","P03","Use core/TUN counters instead of Android UID-wide counters","LOCALLY_PROVED","I3","WO-005 005D2; Libbox CommandStatus traffic capability and Core uplink/downlink totals feed a session-generation bridge; UID TrafficStats absent; reset/overflow/unavailable tests; Android JVM 155/155 and runtime-engine 52/52 PASS","Retain endurance, reset-after-real-Core-restart and exact-candidate support/observability evidence for I4"
"OBS","OBS-041","P03","Add Android ANR/watchdog breadcrumbs","LOCALLY_PROVED","I3","WO-005D4; process main-thread heartbeat emits a rate-limited closed stalled breadcrumb from a bounded background checker and has no stack/message field; watchdog policy tests PASS in both flavors","Run controlled exact-candidate ANR/hang injection and confirm device journal delivery, recovery and overhead before I4"
"OBS","OBS-042","P03","Record updater identity events for direct flavor","LOCALLY_PROVED","I3","WO-005D4; direct APK identity policy emits only verified/rejected after package/version/SDK/ABI/signer-lineage evaluation; handoff is a separate closed enum and store has no APK identity path; both flavor suites/builds PASS","Retain exact signed upgrade, rejected hostile APK and installer-permission device evidence before I4"
"OBS","OBS-043","P03","Emit structured Linux daemon journald events","NATIVE_JOURNAL_PROVEN_SUCCESSOR_SOURCE","I3","WO-005G/013AP/013CS/013DJ; client PR 47 merge 6470d76 retains the closed pokrov-linux-operational-v1 envelope and adds native Unix-datagram plus real missing-socket fallback tests. Exact Linux/ARM64 test binary 87607b7... passes on the owned Raspberry Pi 4 and sanitized journalctl readback confirms the expected safe fields through transport=journal; full client gate passes. Candidate.16 remains unchanged and has no Linux artifact","Retain exact signed-package Ubuntu 24.04 install/socket-activation/service lifecycle plus bounded journald retention/rotation and clean-host rollback before I4; implement real Linux network transactions separately under OBS-045"
"OBS","OBS-044","P03","Trace Linux D-Bus and polkit","IMPLEMENTED_PARTIAL_POLKIT_ONLY","I2","WO-005G; SO_PEERCRED plus process start-time binds pkcheck space.pokrov.linux.manage, incomplete identity fails closed, unauthorized mutation cannot stage a profile, and polkit/systemd packaging tests pass on byte-identical hosted Linux source; no D-Bus trace exists","Implement the bounded D-Bus trace, then retain clean desktop-session allow/deny/cancel and audit readback before I3/I4"
"OBS","OBS-045","P03","Record NetworkManager, resolved and nft transactions","NATIVE_TESTED_SOURCE_ONLY","I2","WO-005G/WO-013AP/WO-013CS; client 646e944, merged as 30ccf4f, carries the closed network_transaction encoder and typed NetworkManager/resolved/nft checkpoint/apply/rollback producers. Current connect emits three honest checkpoint/unavailable preflight events before linux_live_connect_unavailable. The full Go suite plus gofmt/vet/build runs on an owned Linux host and Flutter 4/4 passes without raw command/path/network fields","Implement actual NetworkManager checkpoint and resolved/nft participants through the typed producer, inject partial-apply/rollback faults and retain native journald plus exact clean Ubuntu 24.04 restoration before I3/I4"
"OBS","OBS-046","P03","Export sanitized daemon slice to Linux UI","LOCALLY_PROVED_SOURCE_ONLY","I3","WO-005G; bounded protocol exports only closed snapshot/stack/diagnostic fields, Dart validates protocol/request identity and maps allowlisted failure/message values into the non-root UI; runtime-engine and Linux shell tests pass","Retain exact signed-package daemon/UI socket readback and hostile-response matrix on clean Linux before I4"
"OBS","OBS-047","P02","Define core event ABI v3","LOCALLY_PROVED_RECONCILED","I3","WO-006C; audit-proposed ABI v3 rejected by current authority; additive Core event ABI 1 on desktop ABI 2 is machine-owned, bounded, non-blocking and fail-closed; AAR/DLL builds and callback smoke PASS","Any future desktop ABI 3 needs a separate binding and compatibility decision"
"OBS","OBS-048","P02","Normalize third-party errors","LOCALLY_PROVED","I3","WO-006C; Core start/initialize/stop/egress failures cross host boundaries only as closed CORE/EGRESS catalog codes; raw upstream errors stay internal; planted hostile corpus PASS","Extend code coverage phase-by-phase in WO-006E without reintroducing raw UI strings"
"OBS","OBS-049","P02","Propagate core_run_id and attempt_id","LOCALLY_PROVED","I3","WO-006C; Core event ABI carries run/attempt/generation/sequence; Android and Windows fences reject stale run, attempt, generation and duplicate/late sequence; reordered tests PASS","Retain exact-candidate reconnect evidence"
"OBS","OBS-050","P02","Classify safe transport failures","LOCALLY_PROVED","I3","WO-006I; TRANSPORT-001..004 separately classify typed/string timeout, refusal, authentication and protocol negotiation; Core event ABI plus Dart/Android/Windows allowlists pass; raw URL/secret-like material remains rejected; catalog parity is exact across platform/client/Core","Retain exact-candidate Android/Windows runtime observations for all four classes and operator-action readback before I4"
"OBS","OBS-051","P04","Add portal request/correlation middleware","LOCALLY_PROVED","I3","WO-006 006D closure; safe client UUIDv4 replacement; distinct server request UUIDv4; success/auth/error headers and CORS; focused 25/25 PASS","Retain exact deployed request/header observation before I4"
"OBS","OBS-052","P04","Map portal exceptions to error catalog","LOCALLY_PROVED","I3","WO-006 006D closure; unhandled API-007 and ingest API-008/API-009 mapping; planted exception absent from response/log; focused 25/25 PASS","Retain deployed error-path observation and client recovery behavior before I4"
"OBS","OBS-053","P04","Add bounded batch telemetry endpoint","LOCALLY_PROVED","I3","WO-006 006D closure; authenticated 100-event 256-KiB/64-KiB-gzip boundary; closed projection; idempotency/conflict; quarantine counters; 157/157 owner regression PASS","Wire active-client aggregate sink in 006E; retain hosted load/rate/storage evidence before I4"
"OBS","OBS-054","P04","Make support-case creation idempotent","LOCALLY_PROVED","I3","WO-006 006G closure; canonical-owner or anonymous-nonce binding, existing-ticket reuse, unique conflict recovery and retry tests PASS","Retain exact deployed persistence and real retry evidence before I4"
"OBS","OBS-055","P04","Issue signed upload tickets bound to case, size, checksum and TTL","LOCALLY_PROVED","I3","WO-006 006G closure; HMAC ticket binds owner, case, upload, bundle, bytes, SHA-256, MIME and bounded expiry; expired/replay/conflict tests PASS","Retain production secret custody, rotation and deployed validation evidence before I4"
"OBS","OBS-056","P04","Process bundle ingest in isolated async worker","LOCALLY_PROVED","I3","WO-006 006G closure; web slice never imports ingest/decrypt; opt-in worker loads mounted X25519 keys and validates plaintext in memory while retaining ciphertext only; worker tests PASS","Retain deployed process-isolation, private-directory and successful worker-run evidence before I4"
"OBS","OBS-057","P04","Reject archive bombs, traversal and invalid MIME","LOCALLY_PROVED","I3","WO-006 006G closure; fixed JSON envelope and virtual-path schemas, count/byte/hash/MIME/redaction/malware allowlists and hostile traversal/unknown/forbidden corpus tests PASS","Retain deployed quarantine and exact real hostile-corpus evidence before I4"
"OBS","OBS-058","P04","Run retention and deletion jobs","LOCALLY_PROVED","I3","WO-006 006H closure; bounded worker retention selects health/bundle/quarantine/audit rows, validates owned paths, preserves holds and reports integer counters; service/worker tests PASS","Retain production schedule, backlog, private-directory permissions, alerts and applied deletion evidence before I4"
"OBS","OBS-059","P04","Aggregate release health by build and platform","LOCALLY_PROVED","I3","WO-006 006H closure; identity-free current/previous windows group exact app/build/candidate/revision/platform/architecture and expose crash/connect/update deltas; API/service tests PASS","Retain exact-candidate production observation window, traffic volume and alert thresholds before I4"
"OBS","OBS-060","P04","Maintain version-scoped known-issue registry","LOCALLY_PROVED","I3","WO-006 006H closure; candidate/code uniqueness, version/build/platform evidence, closed severity/status and observational incident/release refs covered by migration/service/API tests","Retain production operator ownership, review workflow and exact-candidate issue evidence before I4"
"OBS","OBS-061","P07","Show support case timeline in admin","LOCALLY_PROVED","I3","WO-009E2/013B; ticket creation, public/internal messages, notes and state are rendered as one ordered operator timeline; adminapp E2E 75/75 PASS","Retain exact-candidate authenticated staging/production case timeline and real operator evidence before I4"
"OBS","OBS-062","P07","Show diagnostics summary panel in admin","LOCALLY_PROVED","I3","WO-009E2/013B; selected attempt exposes allowlisted version plus permission/Core/TUN/DNS/egress facts without raw metadata; backend and browser regressions PASS","Retain exact-candidate real bundle/attempt facts and operator readback before I4"
"OBS","OBS-063","P07","Search by case, support and correlation code","LOCALLY_PROVED","I3","WO-009E2/013B; environment-scoped v2 search resolves case, opaque bundle ref and safe correlation code to canonical ticket hrefs; raw identity/path fields excluded by tests","Retain exact-candidate authenticated search evidence against real support data before I4"
"OBS","OBS-064","P07","Match known issues and actions","LOCALLY_PROVED","I3","WO-009E2/013B; open known issues match error code with nullable/exact app version, build and platform scope and expose only safe summary plus observational incident/release links","Retain reviewed exact-candidate known-issue registry ownership and production operator evidence before I4"
"OBS","OBS-065","P07","Enforce L1, L2, SRE and Security RBAC","LOCALLY_PROVED","I3","WO-009E2/013B; L1 lacks sensitive bundle permission while L2, explicit SRE and Security roles require support.sensitive.read plus fresh step-up; role, API and browser tests PASS","Retain real least-privilege role assignments and exact-environment access review before I4"
"OBS","OBS-066","P07","Audit bundle open and download","LOCALLY_PROVED","I3","WO-009E2/013B; case-scoped reasoned grant is actor-bound, short-lived and one-use; content verifies size/SHA and returns ciphertext only; grant/download actor, reason and timestamp audit asserted","Retain exact-candidate production storage, real audited access and scheduled access-review evidence before I4"
"OBS","OBS-067","P08","Build client Diagnostics screen","LOCALLY_PROVED","I3","WO-010G1; Profile opens a standalone refreshable Diagnostics route with freshness, tunnel/route/DNS/egress evidence, safe actions and support handoff; focused presenter/widgets, full 366-test app-shell suite and analyze PASS","Retain exact-candidate Android/Windows visual, accessibility and host-runtime evidence before I4"
"OBS","OBS-068","P08","Preview support bundle categories","LOCALLY_PROVED","I3","WO-010G1; Diagnostics and Support chat reuse one summary-profile builder; preview shows exact categories, files, bounded plaintext size and redaction count without exposing contents; focused and full app-shell tests PASS","Retain exact-candidate encryption/configuration and device UI evidence before I4"
"OBS","OBS-069","P08","Create case plus bundle in one action","LOCALLY_PROVED","I3","WO-010G1; one Diagnostics action calls the configured encrypted transfer authority with ticketId null so it creates a case and uploads or queues the encrypted package; focused widget verifies one call and returned case ID","Retain exact-candidate online and offline server/outbox delivery evidence before I4"
"OBS","OBS-070","P08","Export encrypted .pokrov-support only","LOCALLY_PROVED","I3","WO-006K; the app resolves a verified signed recipient and exposes one manual export action; Windows uses the system save dialog and Android uses a bounded SAF ACTION_CREATE_DOCUMENT channel that validates the exact encrypted envelope and writes only ciphertext; app-shell encryption/export tests, Android source contract, Android debug build and Windows debug build pass","Retain exact-candidate Android physical SAF and Windows clean-host save/readback showing one encrypted envelope and no plaintext artifact before I4"
"OBS","OBS-071","P08","Generate short support code usable without upload","LOCALLY_PROVED","I3","WO-006K; the cross-language PSD1 codec carries only platform, route/connection class, app/build, issue/expiry date and a 16-bit diagnostic hash prefix; client copy and support.read decoder require no upload or identity and share the retained fixture PSD1-6C4Q-J082-00FA-QK8B","Retain exact-candidate user/operator decode proof and confirm no upload/account/device correlation in deployed logs before I4"
"OBS","OBS-072","P08","Enable temporary support mode only by signed TTL policy","HOSTED_SOURCE_CUSTODY_PROVED","I3","WO-006K/013S; audited L2 support.mode.issue stores only the code hash for one case; one-time owner/exact-build redeem returns a closed Ed25519 v2 policy; client main 288c82b52cf3bda32b6c11f5261805aa8842bdc1 fail-closed binds public pin pokrov-support-2026-08; hosted run 32672708398 proves the private Ed25519 seed derives that exact pin, validates the code-secret contract and retains only a public revision-bound receipt","Deploy the production runtime configuration under separate authorization, retain deployed RBAC/audit readback, then prove exact-candidate Android and Windows activation/replay before I4"
"OBS","OBS-073","P08","Show persistent support-mode indicator","LOCALLY_PROVED","I3","WO-006K; the authoritative support-mode controller drives a root-level live-region banner with expiry, bundle usage, diagnostics entry and manual disable; focused widget proof verifies the visible banner actions and controller state is fail-closed across restart/corruption","Retain exact-candidate foreground/background/restart visibility and accessibility proof on physical Android and clean Windows before I4"
"OBS","OBS-074","P08","Enforce hard time and volume caps","LOCALLY_PROVED","I3","WO-006K; signed v2 policy validation enforces TTL <=30 minutes, exact category/collector pairs, per-bundle <=2 MiB, cumulative <=4 MiB and at most two bundles; the persisted usage ledger de-duplicates IDs, rejects cap/expiry/replay and auto-disables","Retain exact-candidate wall-clock expiry and cumulative-cap proof across restart on Android and Windows before I4"
"OBS","OBS-075","P11","Run property-based redaction tests","CANDIDATE16_EXACT_SOURCE_PROPERTY_PASS","I3","WO-013B establishes the 128-iteration/640-case generated fail-closed corpus. WO-013DQ repeats the frozen candidate.16 observability runtime suite at 29/29 including the generated property corpus","Retain physical candidate/runtime output evidence; preserve any counterexample as stop-ship"
"OBS","OBS-076","P11","Run golden bundle-manifest tests","CANDIDATE16_EXACT_SOURCE_GOLDEN_PASS","I3","WO-013B establishes the literal 1.2.0 manifest golden. WO-013DQ repeats the frozen candidate.16 support-bundle suite at 15/15 including deterministic preview/manifest hashes, golden and no-plaintext checks","Bind the same golden to exact physical candidate generation and encrypted upload/ingest before I4"
"OBS","OBS-077","P11","Run E2E connection fault matrix","VERIFIED","I1","WO-013B; canonical 19-injection matrix binds every required fault to a closed phase and known code, including dual-code TLS/clock and planted-token cases; runtime source mappings and 3 focused tests PASS","Inject all 19 faults through the actual portal/client/Core/host boundaries on exact candidates; Linux remains NOT_SHIPPED"
"OBS","OBS-078","P11","Run crash and hang recovery matrix","LOCALLY_PROVED","I3","WO-013B; bounded dispatcher crash-tail/timeout/blocked-writer regressions plus Windows startup-pending, persisted-stage and rollback-fault tests prove fail-closed durable network restore; diagnostics timeline retains rollback and failed-DNS evidence","Repeat crash, forced-kill and hang recovery on exact Android/Windows candidates and prove no residual routes or DNS before I4"
"OBS","OBS-079","P11","Test loss, DNS, MTU and IPv6 observability","IMPLEMENTED_PARTIAL","I2","WO-013B; executable local synthetic timelines for packet loss, DNS unavailable, MTU black hole and IPv6 path unavailable retain distinct phase/code outcomes and never emit verified; full observability_runtime 27/27 tests PASS","Run controlled physical/emulator network mutation against exact Android/Windows candidates and retain route/DNS cleanup evidence before I3/I4"
"OBS","OBS-080","P11","Benchmark observability overhead","VERIFIED","I1","WO-013B; Windows-host in-process harness accepted 266/266 events with no loss; idle 8472 B, connect burst 216872 B, max event 849 B and peak queue 216872 B pass initial local budgets; report is forced PARTIAL_LOCAL","Measure same-build exact Android/Windows cold-start, connect latency, idle CPU/app, battery and thermal deltas; local RSS/emit timing is not candidate proof"
"OBS","OBS-081","P11","Test offline queue and deterministic backpressure","LOCALLY_PROVED","I3","WO-013B; bounded priority queue deterministically evicts lower priority entries, counts drops, never blocks emitters and retains only encrypted support bundles when upload is unavailable; full focused package regressions PASS","Repeat under exact-candidate long-session/offline pressure on Android and Windows before I4"
"OBS","OBS-082","P11","Load and abuse-test ingest","LOCALLY_PROVED","I3","WO-013B; release-health ingest 26/26 PASS including twenty maximum 100-event batches, 100-event idempotent replay, rate/size/decompression rejection and a less-than-10-second local budget","Retain deployed rate/decompression/idempotency and resource-budget evidence for the exact candidate before I4"
"OBS","OBS-083","P11","Maintain privacy threat model and field inventory","LOCALLY_PROVED","I3","WO-013B; canonical pokrov.observability-data-inventory.v1 assigns purpose, modes, retention and owner to every event-schema and persisted observability/support field; generator compares live JSON Schema and SQLAlchemy columns; 8/8 plus Ruff PASS","Perform production field/retention owner review against the exact deployed schema before I4"
"OBS","OBS-084","P11","Run access-review playbook","VERIFIED","I1","WO-013B; canonical observability-access-review playbook defines independent owners, post-JIT/weekly/monthly/quarterly cadence, Action Intent review/revoke flow, redacted evidence and fail-closed findings; docs contracts 30/30 PASS","Execute and retain the current production review; local tests or the written cadence are not evidence that regular review occurred"
"OBS","OBS-085","P11","Stop staged promotion on health regression","LOCALLY_PROVED","I3","WO-013B; operator release regression injects crash, connect and update deterioration, proves release.observation.close fails with release_health_gate_failed and keeps rollout staged at 10%; 5/5 PASS","Repeat against exact-candidate deployed cohort health before any promotion"
